DATE,FLIGHT_NUM,WAY,HAUL,PLANE,TEAM,NUMBER,START,END
20170620,1800,Departure,Moyen,321,POLY,2,13:55:00,15:00:00
20170620,1069,Arrival,Moyen,320,ASA,1,16:40:00,17:20:00
20170620,1143,Departure,Moyen,318,RZA,1,13:55:00,15:25:00
20170620,1206,Arrival,Moyen,321,ASA,1,12:20:00,13:40:00
20170620,67,Departure,Long,388,POLY,2,10:10:00,10:30:00
20170620,1068,Departure,Moyen,320,RZA,1,12:00:00,13:25:00
20170620,1085,Arrival,Moyen,319,RZA,1,13:05:00,13:50:00
20170620,1556,Arrival,Moyen,320,ASA,1,13:10:00,13:50:00
20170620,1069,Departure,Moyen,320,POLY,2,12:10:00,13:15:00
20170620,7627,Arrival,Moyen,321,POLY,2,13:25:00,14:10:00
20170620,1050,Departure,Moyen,318,POLY,1,17:35:00,17:50:00
20170620,1743,Arrival,Moyen,318,RZA,1,14:00:00,14:45:00
20170620,12,Arrival,Long,388,ASA,3,11:00:00,11:55:00
20170620,1383,Arrival,Moyen,321,ASA,1,11:20:00,12:35:00
20170620,969,Departure,Long,77W,RZA,1,12:10:00,14:00:00
20170620,6,Departure,Long,388,RZA,1,12:10:00,14:00:00
20170620,1281,Departure,Moyen,319,RZA,1,14:50:00,16:20:00
20170620,719,Departure,Long,77W,POLY,1,14:50:00,16:30:00
20170620,1505,Arrival,Moyen,321,RZA,1,14:20:00,15:05:00
20170620,1423,Arrival,Moyen,319,RZA,1,11:15:00,12:00:00
20170620,476,Arrival,Long,772,ASA,2,13:25:00,14:20:00
20170620,339,Departure,Long,772,POLY,1,14:05:00,15:35:00
20170620,1070,Arrival,Moyen,320,RZA,1,16:45:00,17:30:00
20170620,1166,Arrival,Moyen,319,POLY,1,11:25:00,12:30:00
20170620,1014,Arrival,Moyen,318,POLY,1,17:10:00,17:25:00
20170620,460,Arrival,Long,772,RZA,1,10:55:00,11:50:00
20170620,1384,Arrival,Moyen,321,POLY,2,11:20:00,12:35:00
20170620,100,Arrival,Long,77W,ASA,2,10:45:00,11:40:00
20170620,11,Departure,Long,388,POLY,1,15:25:00,16:55:00
20170620,1115,Arrival,Moyen,318,POLY,1,11:35:00,12:40:00
20170620,1179,Arrival,Moyen,320,POLY,2,14:40:00,15:50:00
20170620,7665,Arrival,Moyen,320,RZA,1,13:50:00,15:30:00
20170620,702,Departure,Long,77W,ASA,3,12:20:00,13:50:00
20170620,1148,Arrival,Moyen,320,RZA,1,14:55:00,16:25:00
20170620,1615,Departure,Moyen,318,POLY,1,11:40:00,13:00:00
20170620,1851,Arrival,Moyen,318,RZA,1,17:00:00,17:45:00
20170620,1723,Arrival,Moyen,318,POLY,1,13:50:00,14:05:00
20170620,1150,Arrival,Moyen,321,POLY,2,11:45:00,12:40:00
20170620,1744,Arrival,Moyen,318,POLY,1,14:00:00,14:15:00
20170620,1383,Arrival,Moyen,321,POLY,2,11:20:00,12:35:00
20170620,1897,Arrival,Moyen,320,POLY,2,14:00:00,15:15:00
20170620,7705,Arrival,Moyen,318,POLY,1,10:55:00,11:10:00
20170620,1412,Arrival,Moyen,320,ASA,1,11:45:00,12:55:00
20170620,1897,Arrival,Moyen,320,ASA,1,14:00:00,15:15:00
20170620,1624,Arrival,Moyen,321,RZA,1,16:55:00,17:40:00
20170620,1555,Arrival,Moyen,320,ASA,1,13:10:00,13:50:00
20170620,1597,Departure,Moyen,319,POLY,1,12:20:00,12:35:00
20170620,826,Arrival,Long,772,ASA,2,10:30:00,11:25:00
20170620,7521,Arrival,Moyen,320,ASA,1,11:55:00,13:10:00
20170620,1194,Departure,Moyen,321,POLY,2,15:15:00,16:20:00
